430,syr_422,syr_434,syr_611,syr_612
ܐܝܠܢܐ,ܐܝܠܢܐ,,ܐܝܠܢܐ,ܐܝܠܢܐ
ܫܦܝܪܐܘܛܪ̈ܦܘܗܝܢܨܝܚܝܢܘܦܐܪ̈ܘܗܝܛܒܝܢ܂,ܒܐܒ݁ܗ܂,,ܒܐܒܗ܂,ܒܐܒܗ܂
,ܘܛܘܪܐܕܣܥܝܪܒܐܝܠܢܘ̈ܗܝ܂,,ܘܛܘܪܐܕܣܥܝܪܒܐܝܠܢܘ̈ܗܝ܂,ܘܛܘܪܐܕܣܥܝܪܒܐܝܠܢܘ̈ܗܝ܂
ܗܟܢܐ,ܗܟܢܐ,,ܗܟܢܐ,ܗܟܢܐ
ܗ̄ܘܓܒܪܐܥܡܐܢ̄ܬܬܐܛܒܬܐܘܒ̣ܢܘ̈ܗܝܟܐܢܝ̈ܢ܀,ܗܕܝܪܐ̄ܢܫ,,ܗܕܝܪܐ̄ܢܫ,ܗܕܝܪܐ̄ܢܫ
,ܒܐܢܬܬܗܘܒܢܘ̈ܗܝ܂,,ܒܐܢ̄ܬܬܗ,ܒܐܢ̄ܬܬܗ
ܘܓܒܪܐ,ܘܓܒܪܐ,,ܘܒܢ̈܏ܘ܀ܘܒܢ̈ܘܗܝ܀,ܘܒܢܘ̈ܗܝ܀ܟܐ܀
ܕܠܝܬܠܗܐܢ̄ܬܬܐܘܠܐܒܢ̈ܝܐܘܐܦܠܐܐܚ̈ܐ܆ܐܝܬܘܗܝܫܝܛܐܒܥܠܡܐ܆,ܕܐܚ̈ܐܘܒܢ̈ܝܐܠܝܬܠܗܫܝܛܘܒܣܝܪܩܕܡܒܥܠܕܒܒܘ̈ܗܝ܂,,,
ܘܕܡܐܠܐܝܠܢܐܕܥܠܝܕ,ܘܕܡܐܠܐܝܠܢܐܕܥܠܝܕ,,,
ܐܘܪܚܐ܂ܘܟܠ,ܐܘܪܚܐܘܟܠܡܢ,,,
ܕܥܒܪ,ܕܥܒܪ,,,
ܐܟܠ,ܥܠܘܗܝܢܣܒ,,,
ܡܢܗ܂,ܡܢܗ܂,,,
ܘܚܝܘ̄ܬܐܕܒܪܐܡܬܪܐܛܪ̈ܦܘܗܝ܀,ܘܚܝ̈ܘܬܐܘܦܪ̈ܚܬܐܛܪ̈ܦܘܗܝܡܬܢܟܪܝܢ܂,,,
ܒܪܝܠܐܬܐܡܪ,ܒܪܝܠܐܬܐܡܪ,,,
ܕܡܪܣܟܠܐ,ܕܡܪܝܣܟܠ,,,
ܘܐܢܐ,ܘܐܢܐ,,,
ܚܟܝܡܐ܂ܒܪܡܢܗܘܐܠܘܬܟܒܐܝܩܪܐܘܐܦܢܢܗܘܐܣܟܠܕܢܚܒܒܟ܀ܒܪܝܠܐܬܡܠܠ,ܚܟܝܡ܂ܐܠܐܐܚܘܕܝܗܝܒܡܘ̈ܡܬܐܘܐܬܪܚܡ܀ܒܪܝܠܐܬܡܢܐܢܦܫܟܥܡܚܟܝܡ̈ܐ܂ܕܟܕܐ̄ܚܪ̈ܢܐܠܐܢܫܒܚܘܢܟ܂ܒܪܝܠܐܬܣܓܐܡ̈ܠܝܟܩܕܡܡܪܟ܂ܕܠܐܬܒܣܪܒܥܝܢܘ̈ܗܝ܂ܒܪܝܒܝܘܡܒܝܫܬܐܠܐܠܗܐܠܐܠܘܛ܂ܕܠܡܐܢܫܡܥܡ̈ܠܝܟܠܙܥܠܝܟ܂ܒܪܝܥܒܕܐ,,,
ܩܕܡ,ܩܕܡ,,,
ܡܪܟܪܘܪ̈ܒܬܐܘܐܝܟܣܟܠܐ܂ܕܠܡܐܬܗܘܐܠܘܬܗܫܛܝܐ܀ܒܪܝܠܐܬܗܘܐܡ̣ܢܐܝܠܝܢܕܐܡܪܝܢܠܗܘܢܡܪ̈ܝܗܘܢܐܬܪܚܩܘܡ̣ܢܩܕܡܐܦܝ̈ܢ܂ܒܪܡܗܘܝܡ̣ܢܐܝܠܝܢܕܐܡܪܝܢܠܗܘܢܐܝܘܥܒ̈ܕܐܛܒ̈ܐ܀ܒܪܝܐܢܗܘܩܝ̇ܡܝܢܩܕܡܝܟܥܒܕܝ̈ܟܠܐܠܚܕܘܬܪܚܡܠܐ̄ܚܪܝܢܬܣܢܐ܂ܒܕܝܕܥܬ݁,ܝܪܬܗܠܐܬܪܚܡ܂ܡܛܠܕܠܐܝܕܥܐ̄ܢܬ݁,,,
ܐܝܢܐ,ܐܝܢܐ,,,
ܡܢܗܘܢܡܟܬܕܠܚܪܢܐܠܘܬܟ܀ܒܪܝܥܒܕܐ,ܡܬܒܥܐܠܟܠܚܪܬܐ܀ܒܪܝܥܒ݂ܕܐ,,,
ܕܫܒܩ,ܕܫܒܩ,,,
ܒܝܬ,,,,
ܡܪ̈ܘܗܝܩܕܡܝ̈ܐ,ܡܪ̈ܘܗܝܩܕܡܝ̈ܐ,,,
ܠܐܡܨܠܚ܀ܒܪܝܥܙܐܕܡܣܓܝܐܦܣܥ̈ܬܐܘܡܬܗܦܟܐܠܟܐܘܠܟܐܡܐܟܘܠܬܐܕܕܐܒ̈ܐܗܘܝܐ܀ܒܪܝܕܘܢܒܐ,ܘܐܙܠܠܘܬܐ̄ܚܪ̈ܢܐܪ̈ܓܘܡܘܗܝ܀ܒܪܝܕܘܢܕܝܢܐܬܪܝܨܐܘܬܕܒܪܣܝܒܘܬܐܕܢܝܚܐ܀ܒܪܝܢܗܘܐܚܠܐܠܫܢܟ܂ܘܒܣܝܡܡܡܠܠܗܕܦܘܡܟ܂ܡܛܠܕܕܘܢܒܗ,,,
ܕܟܠܒܐ,ܕܟܠܒܐ,,,
ܝܗܒܠܗܠܚܡܐ,ܝܗܒܠܗܠܚܡܐ܂,,,
ܘܦܘܡܗ,ܘܦܘܡܗ,,,
ܝܗܒܠܗ,ܝܗܒܠܗ,,,
ܡܚ̈ܘܬܐ܀,ܡܚ̈ܘܬܐ܀,,,
,ܒܪܝܠܐܬܫܒܘܩܠܚܒܪܟܕܢܕܪܘܟܥܠܪܓܠܟܕܠܐܢܕܪܘܟܐܦܥܠܨܘܪܟ܀,,,
,ܒܪܝܡܚܝܠܓܒܪܐܚܟܝܡܐ,,ܒܪܝܡܚܝܠܓܒܪܐܚܟܝܡܐ,ܒܪܝܡܚܝܠܓܒܪܐܚܟܝܡܐ
,ܚܟܝܡܬܐ܂,,ܚܟܝܡܬܐ܁,
,ܘܬܗܘܐܒܠܒܗ,,ܘܬܗܘܐܒܠܒܗ,ܘܬܗܘܐܒܠܒܗ
,ܐܝܟܐܫܬܐ,,ܐܝܟܐܫܬܐ,ܐܫ̈ܬܐܪܩܝܩܬܐ܂
,ܪܩܝܡܬܐ܂,,ܪܩܝܩܬܐ,
,ܘܐܢܬܡܚܐܠܓܒܪܐܣܟܠܐ܂,,ܘܐܢܬܡܚܐܠܓܒܪܐܣܟܠܐ܂,ܘܐܢܬܡܚܐܠܓܒܪܐܣܟܠܐ܂
,ܪܒ݂ܘ,,ܪ̈ܒܘ,ܪܒܘ
,ܚܘܛܪ̈ܝܢܠܐ,,ܚܘܛܪ̈ܝܢܠܐ,ܚܘܛܪ̈ܝܢܠܐ
,ܝܕܥ܂,,ܝܕܥ܀,ܝܕܥ܀
,,,,ܟܒ܀
,ܒܪܝܫܕܪ,,ܒܪܝܫܕܪ,ܒܪܝܫܕܪ
,ܠܓܒܪ̈ܐ,,ܓܒܪ̈ܐ,ܓܒܪ̈ܐ
,ܚܟܝܡ̈ܐ,,ܚܟܝ̈ܡܐ,ܚܟܝܡ̈ܐ
,ܠܐ,,ܘܠܐ,ܘܠܐ
,ܬܣܓܐ,,ܬܣܓܐ,ܬܣܓܐ
,ܠܡܦܩܕܘܬܗܘܢ܇,,ܠܡܦܩܕܘܬܗܘܢ܂,ܠܡܦܩܕܘܬܗܘܢ܂
,ܘܐܢ,,ܘܐܢ,ܘܐܢ
,ܣܟܠܐ,,ܣܟ̈ܠܐ,ܣܟ̈ܠܐ
,ܡܫܕܪ,,ܡܫܕܪ,ܡܫܕܪ
,ܐ̄ܢܬ݁܂ܐܢܬ݁,,ܐܢ̄ܬ܂,ܐܢ̄ܬ܆
,,,ܐܢ̄ܬ,ܐܢ̄ܬ
,ܒܢܦܫܟ,,ܒܢܦ̮ܫܟ,ܒܢܦܫܟ
,ܙܠ܂,,ܙܠ܂,ܙܠ܆
,ܘܠܗܠܐܬܫܕܪ܂,,ܘܠܗܘܢܠܐܬܫܕܪ܀,ܘܠܗܘܢܠܐܬܫܕܪ܀
,,,,ܟܓ܀
ܒܪܝܢܣܐ,ܒܪܝܢܣܐ,,ܒܪܝܢܣܐ,ܒܪܝܢܣܐ
ܒܪܟܐܘܥܒܕܟ,ܚܒܪܟ,,ܚܒܪܟ,ܚܒܪܟ
ܒܠܚܡܐ,ܒܠܚܡܐ܂,,ܒܠܚܡܐ,ܒܠܚܡܐ
ܐܘܒܡܕܡܕܒܨܝܪܠܘܩܕܡ,ܘܡܝ̈ܐ܂,,ܘܡ̈ܝܐ܂,ܘܡܝ̈ܐ܂
ܘܗܝܕܝܢܐܫܠܡ,ܘܗܝܕܝܢܐܫܠܡ,,ܘܗܝܕܝܢܐܫܠܡ,ܘܗܝܕܝܢܐܫܠܡ
ܒܐܝܕܗܘ̇ܢܩܢܝܢܟ܀,ܒܐܝܕܘ̈ܗܝ,,ܒܐܝܕܘ̈ܗܝ,ܒܐܝܕܘ̈ܗܝ
,ܢܟܣ̈ܝܟܘܩܢܝܢ̈ܝܟ܀,,ܢܟܣܝ̈ܟܘܩܢܝܢܝ̈ܟ܀,ܢܟܣܝ̈ܟܘܩܢܝܢܝ̈ܟ܀
ܒܪܝ,ܒܪܝ,,,ܟܕ܀
ܗܘܕܡܠܝܐܐܝܕܗܡܬܐܡܪܚܟܝܡܐܘܡܫܒܚܐ܂ܘܗܘܕܣܦܝܩܘܨܪܝܟܡܬܐܡܪܣܟܠܐܘܐ̄ܢܫܠܐܡܝܩܪܠܗ܀,ܡ̣ܢ,,ܒܪܝܡܢ,ܒܪܝܡܢ
,ܡܫܬܘܬܐ,,ܡܫܬܘܬܐ,ܡܫܬܘܬܐ
,ܩܕܡܝܐ,,ܩܕܡܝܐ,ܩܕܡܝܬܐ
,ܢܦܩ,,ܦܘܩ܂,ܦܘܩ܂
,ܘܠܐܬܩܘܐ,,ܘܠܐܬܩܘܐ,ܘܠܐܬܩܘܐ
,ܠܡܡܫܝܚܡܫ̈ܚܢܐ,,ܠܡܡܫܚ,ܠܡܡܫܚ
,,,ܡܫܚ̈ܢܐ,ܡܫܚܢ̈ܐ
,ܒܣܝܡ̈ܐ܂,,ܒܣܝܡ̈ܐ܂,ܒܣܝܡ̈ܐ܂
,ܕܠܡܐܢܗܘܝܢ,,ܕܠܐܢܗ̈ܘܝܢ,ܕܠܐܢܗ̈ܘܝܢ
,ܠܟ,,ܠܟ,ܠܟ
,ܨܘ̈ܠܦܬܐ܀,,ܨܘܠܦ̈ܬܐ܀,ܨܘ̈ܠܦܬܐ܀
,ܒܪܝܡ̇ܢܕܐܝܕܝܗ,,,ܟܗ܀
,,,ܒܪܝܡܢܕܐܝܕܗ,ܒܪܝܡܢܕܐܝܕܗ
,ܡܠܝܐ,,ܡܠܝܐ,ܡܠܝܐ
,ܡܬܩܪܐ,,ܡܬܩܪܐ,ܡܬ̄ܩܪܐ
,ܚܟܝܡܐ܂ܘܡ̇ܢܕܐܝܕ݂ܗ,,ܚܟܝܡܐ܂ܘܡܢܕܐܝܕܗ,ܚܟܝܡܐ܂ܘܡܢܕܐܝܕܗ
,ܣܦܝܩܐ,,ܣܦܝܩܐ,ܣܦܝܩܐ
,ܡܬܩܪܐ,,ܡܬܩܪܐ,ܡܬ̄ܩܪܐ
,ܣܟܠܐ܂ܘܐ̄ܢܫ̈ܐܘܡܣܟ̈ܢܐܠܐܡܝܩܪܝܢܠܗ܂,,ܣܟܠܐ܀,ܣܟܠܐ܀
,,,,ܟܘ܀
ܒܪܝܐܟܠܬ,ܒܪܝܐܟܠܬ,,ܒܪܝܐܟܠܬ,ܒܪܝܐܟܠܬ
ܐܦܣܥܬܝܢܘܨܒܪܐ܂ܘܠܐܚ̇ܙܝܬܕܡܪܝܪܐܝܟ,ܕܡܪܝܪ̈ܢ,,ܕܡܪ̈ܝܪܢ,ܕܡܪܝܪ̈ܢ
,ܘܒܠܥܬ,,ܘܒܠܥܬ,ܘܒܠܥܬ
,ܕܥܠܘܩܝ̈ܢ܂,,ܕܥܠܘܩ̈ܝܢ܂,ܕܥܠܘܩܝܢ܂
,ܘܠܐܐܫܟܚܬ,,ܘܠܐܐܫܟܚܬ,ܘܠܐܐܫܟܚܬ
,ܕܡܪܝܪ̈ܢ,,ܕܡܪ̈ܝܪܢ,ܕܡܪܝܪ̈ܢ
,ܡ̣ܢ,,ܡܢ,ܡܢ
ܡܣܟܢܘܬܐ܀,ܡܣܟܢܘܬܐ܀,,ܡܣܟܢܘܬܐ܀,ܡܣܟܢܘܬܐ܀
,,,,ܟܙ܀
ܒܪܝܛܥܢܬ,ܒܪܝܛܥܢܬ,,ܒܪܝܛܥܢܬ,ܒܪܝܛܥܢܬ
,ܐܒܪܐ,,ܐܒܪܐ,ܐܒܪܐ
,,,ܘܦܪܙܠܐ܂,ܘܦܪܙܠܐ
,ܘܐܗܦܟܬ,,ܘܐܗܦܟܬ,ܘܐܗܦܟܬ
ܦܪܙܠܐ,ܦܪܙܠܐ,,ܘܠܐܐܝܩܪܥܠܝ,ܘܠܐܐܝܩܪܥܠܝ
ܘܐܒܪܐܘܡܠܚܐܘܟܐ̈ܦܐܝܩܝܪ̈ܬܐ܆,ܘܠ̇ܐܐܝܩܕܥܠܝ܂,,,
,ܐܝܟ,,ܐܝܟ,ܐܝܟ
,ܚܘܒܬܐܕܢܚܘܐ̄ܢܫܕܠܐܐܟܠ,,ܚܘܒܬܐ܀,ܚܘܒܬܐ܀
ܘܠܐ,ܘܠܐ,,,ܟܛ܀
ܚܙܝܬܕܝܩܝܪܐܝܟܐܝܙܦܬܐ܂ܘܝܬܝܪܬܘܒܗܘܕܡܡܝܩܟܕܝܬܝܒܒܝܬܚܡܬܗ܀ܒܪܝܣܡܝܘܬܐܕܥܝܢ̈ܐܛܒܐܗ̄ܝ̣ܡ̣ܢܣܡܝܘܬܠܒܐ܀,ܐܫܬܝ܀,,,
,ܒܪܝܐܠܦܒܪܟܟܦܢܐ,,ܒܪܝܐܠܦܒܪܟܟܦܢܐ,ܒܪܝܐܠܦܒܪܟܟܦܢܐ
,ܘܨܗܝܐ܂,,ܘܨܗܝܐ܂,ܘܨܗܝܐ܆
,ܕܐܝܟ,,ܕܐܝܟܢܐ,ܕܐܝܟܢܐ
,ܕܚܙܝܐܥܝܢܗܢܕܒܪܒܝܬܗ܀,,ܕܚܙܝܐܥܝܢܗܢܕܒܪܒܝܬܗ܀,ܕܚܙܝܐܥܝܢܗܢܕܒܪܒܝܬܗ܀
,ܒܪܝܛܒ,,,ܠܐ܀
,,,ܒܪܝ,ܒܪܝ
,ܥܘܝܪܥܝܢ̈ܐ,,ܥܘܝܪܥܝܢ̈ܐ,ܥܘܝܪܥܝܢ̈ܐ
,ܕܝܢܒܥܓܠ,,ܕܒܥܓܠ,ܕܒܥܓܠ
,ܝܠܦܐܘܪܚܐܘܐܙܠܒܗ,,ܝܠܦܐܘܪܚܐܘܐܙܠܒܗ,ܝܠܦܐܘܪܚܐܘܐܙܠܒܗ
,ܘܐܬܐ܂,,ܘܐܢܐ܂ܛܒܘ,ܘܐܬܐ܂
,ܘܥܘܝܪ,,,ܛܒ
,,,ܡܢܥܘܝܪ,ܡܢܥܘܝܪ
,ܠܒܐ,,ܠܒܐ,ܠܒܐ
,ܫܒܩ,,ܕܫܒܩ,ܕܫܒܩ
,ܐܘܪܚܐ,,ܐܘܪܚܐ,ܐܘܪܚܐ
,ܬܪܝܨܬܐ܂ܘܐܙ̇ܠܒܡܥܩܡܬܐ܀,,ܬܪܝܨܐ܀,ܬܪܝܨܬܐ܀ܠܒ܀
ܒܪܝ,ܒܪܝ,,ܒܪܝ,ܒܪܝ
ܟܫܠܐܕܒܪ̈ܓܠܐ,,,,
ܛܒ,ܛܒ,,ܛܒ,ܛܒ
ܗ̄ܘ̣ܡ̣ܢܟܫܠܐܕܒܠܫܢܐ܀ܒܪܝܪܚܡܐܩܪܝܒܐܛܒܗ̄ܘ̣,ܫܒܒܐܕܩܪܝܒ,,ܫܒܒܐܕܩܪܝܒ,ܫܒܒܐܕܩܪܝܒ
,,,ܡܢ,ܡܢ
ܡ̣ܢܐܚܐ,ܡ̣ܢ,,,
,ܐܚܐ,,ܐܚܐ,ܐܚܐ
ܪܚܝܩܐ܀ܘܫܡܐ,,,,
,ܕܪܚܝܩ܂,,ܕܪܚܝܩ܂,ܕܪܚܝܩ
,ܘܛܒܫܡܐܛܒܐ,,ܘܛܒܫܡܐܛܒܐ,ܘܛܒܫܡܐܛܒܐ
,ܩܐܡܡ̣ܢܫܘܦܪܐ܀,,ܡܢܫܘܦܪܐ܂,ܡܢܫܘܦܪܐ܂
,ܡܛܠܕܫܡܐ,,ܡܛܠܕܫܡܐ,ܡܛܠܕܫܡܐ
ܛܒܐ,ܛܒܐ,,ܛܒܐ,ܛܒܐ
ܛܒܗ̄ܘ̣ܡ̣ܢܡܫܚܢ̈ܐܣܓܝ̈ܐܐ܀ܒܪܝܓܒܪܐܕܠܝܬܠܗܢܝܚܘܬܐܒܚܝܘ̈ܗܝ,ܩܐܡ܂ܘܫܘܦܪܐ,,ܩܐܡ܂ܘܫܘܦܪܐ,ܩܐܡ܂ܘܫܘܦܪܐ
,ܡܬܚܒܠ,,ܡܬܚܒܠ܀,ܡܬܚܒܠ܀
,,,,ܠܓ܀
,ܒܪܝܛܒܗ̄ܘ,,ܒܪܝܛܒܗ̄ܘ,ܒܪܝܛܒܗ̄ܘ
ܡܘܬܐ,ܡܘܬܐ,,ܡܘܬܐ,ܡܘܬܐ
ܛܒܠܗ܀ܒܪܝ,ܡ̣ܢ,,ܡܢ,ܡܢ
,ܚܝ̈ܐܠܓܒܪܐ,,ܚܝ̈ܐܠܓܒܪܐ,ܚܝ̈ܐܠܓܒܪܐ
,ܕܢܚܝܐܠܝܬ݁ܠܗ܂ܘܛܒ,,ܕܠܝܬ,ܕܠܝܬ
,,,ܠܗ,
,,,ܢܝܚܐ܂ܘܛܒܘܩܠܐ,ܢܝܚܐ܂ܘܛܒܘܩܠܐ
,,,ܕܐܘܠܝܬ̈ܐ܂,ܕܐܘ̈ܠܝܬ̈ܐ
,,,ܡܢ,ܡܢ
,ܩܠܐ,,ܩܠܐ,ܩܠܐ
,ܕܐܘ̈ܠܝܬܐܠܓܒܪܐܕܐܝܬܒܗܠܒܐ܂ܡ̣ܢ,,ܕܪܩܕܐܘܚܕܘܬܐܘܙܡܪܐ܀,ܕܪܩܕܐܘܚܕܘܬܐܘܙܡܪܐ܀
ܩܠܐ,ܩܠܐ,,,ܠܕ܀
ܕܒܟܝܐܛܒܡ̣ܢܩܠܓܘܚܟܐܕܦܟܢ̈ܐ܀,ܕܙܡܪܐܘܕܚܕܘܬܐ܂,,ܒܪܝܓܪܡܐܕܒܐܝܕܟ,ܒܪܝܓܪܡܐܕܒܐܝܕܟ
ܒܪܝ,ܒܪܝ,,ܛܒܐܗ̄ܝ,ܛܒܘ
ܓܪܝܨܬܐܕܒܐܝܕܟ,,,ܡܢ,ܡܢ
ܛܒܐܗ̄ܝ,ܛܒܐܗ̄ܝ,,,
,ܓܪܡܐܕܒܐܝܕܟ܂,,,
ܡ̣ܢ,ܡ̣ܢ,,,
ܟܟܪܐ,ܘܙܐ,,ܘܙܐ,ܘܙܐ
ܕܒܩܕܪܐ,ܒܩܕܪܐ,,ܕܒܩܕܪܐ,ܕܒܩܕܪܐ
ܕܐ̄ܚܪ̈ܢܐ܀,ܕܐܚܪ̈ܢܐ܀,,ܕܐܚܪ̈ܢܐ܀,ܕܐ̄ܚܪ̈ܢܐ܀
ܒܪܝܦܪܬܐܕܒܐܝܕܟ,,,,ܠܗ܀
,ܒܪܝ,,ܒܪܝ,ܒܪܝ
ܛܒܐܗ̄ܝ,ܛܒܐܗ̄ܝ,,ܛܒܐܗ̄ܝ,ܛܒܐܗ̄ܝ
,ܢܩܝܐ,,ܢܩܝܐ,ܢܩܝܐ
,ܕܩܪܝܒ݂ܐ,,ܕܩܪܝܒܐܡܢ,ܕܩܪܝܒܐܡܢ
ܡ̣ܢ,ܡ̣ܢ,,,
ܬܘܪܐ,ܬܘܪܐ,,ܬܘܪܐ,ܬܘܪܐ
ܕܪܚܝܩ܀ܒܪܝ,ܕܪܚܝܩ,,ܕܪܚܝܩ܂,ܕܪܚܝܩ܂
,ܘܛܒܐ,,ܘܛܒܐ,ܘܛܒܐ
ܨܦܪܐ,ܨܦܪܐ,,ܗ̄ܝܨܦܪܐܚܕܐ,ܗ̄ܝܨܦܪܐܚܕܐ
ܕܒ݂ܐܝܕܟܛܒܐܗ̄ܝ,ܕܒܐܝܕܟ,,ܕܒܐܝܕܝ̈ܟ܂ܡܢ,ܕܒܐܝܕ̈ܝܟ܂ܡܢ
ܡ̣ܢ,ܡ̣ܢ,,,
ܐܠܦܨܦܪ̈ܝܢ,ܐܠܦܨܦܪ̈ܝܢ,,ܐܠܦܨܦܪ̈ܝܢ,ܐܠܦܨܦܪ̈ܝܢ
ܕܦܪ̈ܚܢ,ܕܦܪܚܝܢ,,ܕܦܪܚܝܢ,ܕܦܪܚܝܢ
ܒܐܐܪ܀,ܒܐܐܪ܀,,ܒܐܐܪ܀,ܒܐܐܪ܀
ܒܪܝ,ܒܪܝ,,ܒܪܝ,ܠܘ܀ܒܪܝܛܒܝ
,ܛܒܐܗ̄ܝ,,ܛܒܐܗ̄ܝ,
,ܡܣܟܢܘܬܐ,,ܡܣܟܢܘܬܐ,ܡܣܟܢܘܬܐ
,ܕܡܟܢܫܐܡ̣ܢ,,ܕܡܟܢܫܐ܂ܡܢ,ܕܡܟܢܫܐ܂ܡܢ
,ܥܘܬܪܐܕܡܒܕܪ܂ܘܛܒ,,ܥܘܬܪܐܕܡܒܕܪ܂ܘܛܒ,ܥܘܬܪܐܕܡܒܕܪ܂ܘܛܒ
ܬܥܠܐ,ܬܥܠܐ,,ܬܥܠܐ,ܬܥܠܐ
ܕܚܝ,ܕܚܝ,,ܕܚܝ܂,ܕܚܝ
ܛܒܗ̄ܘ,,,ܡܢ,ܡܢ
ܡ̣ܢ,ܡ̣ܢ,,,
ܐܪܝܐ,ܐܪܝܐ,,ܐܪܝܐ,ܐܪܝܐ
ܡܝܬܐ܀,ܕܡܝܬ܀,,ܕܡܝܬ܀,ܕܡܝܬ܀
,,,,ܠܙ܀
,ܒܪܝܟܒܘܫܡܠܬܐ,,ܒܪܝܟܒܘܫܡܠܬܐ,ܒܪܝܟܒܘܫܡܠܬܐ
,ܒܠܒܟܘܢܛܐܒܠܟ܂ܡܛܠܕܐܢ,,,ܒܠܒܟܘܢܛܐܒܠܟ܂ܡܛܠܕܐܢ
,ܐܡ̣ܪܬ,,,ܐܡܪܬ
,ܡܠܬܐ,,,ܡܠܬܐ
,ܚܠܦܬܚܒܪܟ܀,,ܚܠܦܬܚܒܪܟ܀,ܚܠܦܬܚܒܪܟ܀
,,,,ܠܚ܀
,ܒܪܝܠܐܬܦܘܩܡܠܬܐ,,ܒܪܝܠܐܬܦܘܩܡܠܬܐ,ܒܪܝܠܐܬܦܘܩܡܠܬܐ
,ܡ̣ܢ,,ܡܢ,ܡܢ
,ܦܘܡܟ܂ܥܕܡܐܕܬܗܦܟܝܗܒܠܒܟ܂ܡܛܠܕܛܒܘܠܓܒܪܐܕܢܬܬܩܠܒܪܓܠܗ܂,,ܦܘܡܟ܂ܥܕܡܐܕܬܗܦܟܝܗܒܠܒܟ܂ܡܛܠܕܛܒܘܠܓܒܪܐܕܢܬܬܩܠܒܪܓܠܗ܂,ܦܘܡܟ܂ܥܕܡܐܕܬܗܦܟܝܗܒܠܒܟ܂ܡܛܠܕܛܒܘܠܓܒܪܐܕܢܬܬܩܠܒܪܓܠܗ܂
,ܡ̣ܢܡ̇ܢܕܢܬ݁ܬ݁ܩܠ,,ܡܢܡܢ,ܡܢܡܢ
,,,ܕܢܬܬܩܠ,ܕܬܩܠ
,ܒܠܫܢܗ܀,,ܒܠܫܢܗ܀,ܒܠܫܢܗ܀
,,,,ܠܛ܀
,ܒܪܝܐܢܬܫܡܥܡܠܬܐ,,ܒܪܝܐܢܬܫܡܥܡܠܬܐ,ܒܪܝܐܢܬܫܡܥܡܠܬܐ
,ܡ̣ܢ,,ܡܢ,ܡܢ
,ܐ̄ܢܫܐܥܠܝܗܒܐܪܥܐ,,ܐ̄ܢܫܐܥܠܝܗܒܐܪܥܐ,ܐ̄ܢܫܐܥܠܝܗܒܐܪܥܐ
,ܐܡܝܢ,,ܐܡܝܢ,ܐܡܝ̈ܢ
,ܐܪܒܥ܂ܘܐܟܡܐܕܬܕܪܘܟܥܠܝܗܬܘܒܕܝܗ܀,,ܐܪܒܥ܂ܘܐܟܡܐܕܬܕܪܘܟܥܠܝܗܬܘܒܕܝܗ܀,ܐܪܒܥ܂ܘܐܟܡܐܕܬܕܪܘܟܥܠܝܗܬܘܒܕܝܗ܀
,,,,ܡܡ܀
,ܒܪܝܒܝܢܬܐܝܠܝܢܕܢܨܝܢܠܐ,,ܒܪܝܒܝܢܬܐܝܠܝܢܕܢܨܝܢܠܐ,ܒܪܝܒܝܢܬܐܝܠܝܢܕܢܨܝܢܠܐ
,ܬܩܘܡ,,ܬܩܘܡ܂,ܬܩܘܡ܂
,ܡܛܠ,,ܡܛܠ,ܡܛܠ
,ܕܡ̣ܢ,,ܕܡܢ,ܕܡܢ
,ܡܨܘܬܐܗܘܐܕܝܢܐ܂,,ܡܨܘܬܐܗܘܐܕܝܢܐ܂,ܡܨܘܬܐܗܘܐܕܝܢܐ܂
,ܘܡ̣ܢ,,ܘܡܢ,ܘܡܢ
,ܕܝܢܐܗܘܐ,,ܕܝܢܐܗܘܐ,ܕܝܢܐܗܘܐ
,ܡܘܬܐ܆ܒܪܝܐܢܚܙ̣ܝܬ̇,,ܡܘܬܐ܀,ܡܘܬܐ܀
,,,,ܡܐ܀
,,,ܒܪܝܐܢܚܙܝܬ,ܒܪܝܐܢܚܙܝܬ
,ܐ̄ܢܫܕܩܫܝܫܡܢܟܩܕܡܘܗܝܬܒ܂ܘܐܢܗܘܕܠܐܦܪܥ,,ܐ̄ܢܫܕܩܫܝܫܡܢܟܩܕܡܘܗܝܬܒ܂ܘܐܢܗܘܕܠܐܦܪܥ,ܐ̄ܢܫܕܩܫܝܫܡܢܟܩܕܡܘܗܝܬܒ܂ܘܐܢܗܘܕܠܐܦܪܥ
,ܠܟ܂,,ܠܟ܂,ܠܟ
,ܐܠܗܐܦܪܥ,,ܐܠܗܐܦܪܥ,ܐܠܗܐܦܪܥ
,ܠܟ܂ܒܪܝ̤ܛܒ,,ܠܟ܀,ܠܟ܀
,,,,ܡܒ܀
,,,ܒܪܝܛܪ,ܒܪܝܛܪ
,ܠܫܢܟ,,ܠܫܢܟ,ܠܫܢܟ
,ܡ̣ܢ,,ܡܢ,ܡܢ
,ܕܓܠܘܬܐ܂,,ܕܓܠܘܬܐ܂,ܕܓܠܘܬܐ
,ܘܐܝܕܝ̈ܟܡ̣ܢ,,ܘܐܝܕܟܡܢ,ܘܐܝܕܟܡܢ
,ܓܢܒܘܬܐ܂,,ܓܢܒܘܬܐ܂,ܓܢܒܘܬܐ
,ܘܬܬܩܪܐ,,ܘܬܬܩܪܐ,ܘܬܬܩܪܐ
