430,syr_422,syr_434,syr_611,syr_612
,,,ܒܪܝܗܘܝܬܠܝܐܝܟܚܙܝܪܐܕܐܙܠܥܡ,ܒܪܝܗܘܝܬܠܝܐܝܟܚܙܝܪܐܕܐܙܠܥܡ
,,,ܪ̈ܘܪܒܢܐܠܒܢܐ,ܪܘܪ̈ܒܢܐܠܒܠܢܐ
,,,ܕܢܣܚܐ܂ܘܟܕܣܚܐ,ܕܢܣܚܐ܂ܘܟܕܣܚܐ
,,,ܘܢܦ̣ܩܡ̣ܢܒܢܐ܂,ܘܢܦܩܡܢܒܠܢܐ܂
,,,ܐܫܟܚܣܝܢܐܘܐܬܓܪܓܚܒܗ܀,ܐܫܟܚܣܝܢܐܘܐܬܓܪܓܚܒܗ܀
,,,,ܝܕ܀
,,,ܒܪܝܟܠܒܐܐܝܢܐܕܠܐܡܬܐ̱ܟܠܡ̣ܢܨܝܕܗ܂ܡܐܟܠܐܕܕܐܒܐܢܗܘܐ܀,ܒܪܝܟܠܒܐܐܝܢܐܕܠܐܡܬܐ̱ܟܠܡ̣ܢܨܝܕܗ܂ܡܐܟܠܐܕܕܐܒܐܢܗܘܐ܀
,,,,ܝܗ܀
,,,ܒܪܝܐܝܕܐܕܠܐܦܠܚܐ,ܒܪܝܐܝܕܐܕܠܐܦܠܚܐ
,,,ܘܡܘܬܪܐ܁,ܘܡܘܬܪܐ
,,,ܡܬܩܛܥܐ܀,ܡܬܩܛܥܐ܀
,,,,ܝܘ܀
,,,ܒܪܝܥܝܢܐܕܕܝܩܐܠܡܕܡܢܚܨܘܢܗ̇܀,ܒܪܝܥܝܢܐܕܕܝܩܐܠܡܕܡܢܚܨܘܢܗ̇܀
,,,,ܝܙ܀
,,,ܒܪܝܐܢܐܦܪܨܘܦ,ܒܪܝܐܢܐܦܪܨܘܦ
,,,ܡܠܟ̇ܐ,ܡܠܟܐ
,,,ܚܘܝܬܟ܂ܘܠܐܝܩܪܐܪܒܐܡܢܥܬܟܘܪܒܝܬܟ܂ܘܚܠܦܛܒܬܐܦܪܥܬܢܝܒܝܫܬܐ܂ܕܥܒܕ,ܚܘܝܬܟ܂ܘܠܐܝܩܪܐܪܒܐܡܢܥܬܟܘܪܒܝܬܟ܂ܘܚܠܦܛܒܬܐܦܪܥܬܢܝܒܝܫܬܐ܂ܕܥܒܕ
,,,ܒܝܫܬܐ,
,,,ܥܡܟ,ܥܡܟ
,,,,ܒܝܫܬܐ
,,,ܡܢܐ,ܡܢܐ
,,,ܬܦܪܥܝܘܗܝ܀,ܬܦܪܥܝܘܗܝ܀ܝܚ܀
,,,ܒܪܝܗܘܝܬܠܝܐܝܟܟܟܘܫܬܐ܂ܐܡܪܘ,ܒܪܝܗܘܝܬܠܝܐܝܟܟܟܘܫܬܐ܂ܐܡܪܘ
,,,ܠܗ̇,ܠܗ
,,,ܓܝܪܐܪܦܝܡܢܟܝܓܢܒܘܬܐܘܢܥܒܕܠܟܝܡܠܟܐܗܡܢܝܟܐܡܢܕܗܒܐ܂ܐܡܪܬܕܝܢܐܢܐܐܘܡܢܘܬܐܒܝܘܐܡܝܠܐܫܒܩܐ,ܓܝܪܐܪܦܝܡܢܟܝܓܢܒܘܬܐܘܢܥܒܕܠܟܝܡܠܟܐܗܡܢܝܟܐܡܢܕܗܒܐ܂ܐܡܪܬܕܝܢܐܢܐܐܘܡܢܘܬܐܒܝܘܐܡܝܠܐܫܒܩܐ
,,,ܐܢܐ܀,ܐ̄ܢܐ܀ܝܛ܀
,,,ܒܪܝܐܢܐܟܠܡܐܟܠܐܒܣܝܡܐܐܘܟܠܬܟ܂,ܒܪܝܐܢܐܟܠܡܐܟܠܐܒܣܝܡܐܐܘܟܠܬܟ܂
,,,ܘܐܢ̄ܬ̇,ܘܐܢ̄ܬ
,,,ܕܝܢܠܚܡܐܒܨܝܪܐܠܐܣܒܥܬܢܝ܂ܘܐܢܐܛܡܝܪ,ܕܝܢܠܚܡܐܒܨܝܪܐܠܐܣܒܥܬܢܝ܂ܘܐܢܐܛܡܝܪ
,,,ܘܡܚܦܝ܂ܘܐܢ̄ܬ̇,ܘܡܚܦܝ܆ܘܐܢ̄ܬ
,,,ܫܬܐܚܡܪ̈ܢܐ,ܫܬܐܚܡܪ̈ܢܐ
,,,ܘܠܢܫ̈ܝ,ܘܠܢܫܝ̈
,,,ܕܪܒܝܘܟܨܒܐ,ܕܪܒܝܘܟܨܒܐ
,,,ܗ̄ܘ̇ܝܬ,ܗ̄ܘܝܬ
,,,ܠܒܝܫܘܬܟ܀,ܠܒܝܫܘܬܟ܀
,,,,ܟܟ܀
,,,ܒܪܝܪܒܝܬܟܐܝܟܐܪܙܐ,ܒܪܝܪܒܝܬܟܐܝܟܐܪܙܐ
,,,ܦܐܝܐ܂ܘܐܢ̄ܬ̇,ܦܐܝܐ܆ܘܐܢ̄ܬ
,,,ܐܡܟܬܢܝ܂ܘܠܚܦܪܐ,ܐܡܟܬܢܝ܂ܘܠܚܦܪܐ
,,,ܐܚܬܬܢܝܒܣܘܓܐܬ,ܐܚܕܬܢܝܒܣܘܓܐ̈ܬ
,,,ܢܫܒܝ̈ܟ܀,ܢܫܒܝ̈ܟ܀
,,,,ܟܐ܀
,,,ܒܪܝܐܢܐܣܒܪܗ̄ܘܝܬܕܒܢܝܬܠܝܡܓܕܠܐܚܣܝܢܐܕܐܣܬܬܪܒܗܡ̣ܢܒܥܠܕܒܒܝ̈ܘܡܪܝܐܦܨܝܢܝܡܢܗ܂ܒܕܐܢܐܒܥܝܬܠܟܛܒ̈ܬܐܘܐܢ̄ܬܦܪܥܬܢܝܒ̈ܝܫܬܐ܂,ܒܪܝܐܢܐܣܒܪܗ̄ܘܝܬܕܒܢܝܬܠܝܡܓܕܠܐܚܣܝܢܐܕܐܣܬܬܪܒܗܡ̣ܢܒܥܠܕܒܒܝ̈ܘܡܪܝܐܦܨܝܢܝܡܢܗ܂ܒܕܐܢܐܒܥܝܬܠܟܛܒ̈ܬܐܘܐܢ̄ܬܦܪܥܬܢܝܒ̈ܝܫܬܐ܂
,,,ܒܥܢܐ,ܒܥܐ
,,,ܗܟܝܠܕܐܚܛܛ,ܗܟܝܠܕܐܚܛܛ
,,,ܥܝܢ̈ܝܟܘܐܦܣܘܩܠܫܢܟ܂ܘܒܣܝܦܐ,ܥܝܢܝ̈ܟܘܐܦܣܘܩܠܫܢܟ܆ܘܒܣܝܦܐ
,,,ܐܣܒ,ܐܣܒ
,,,ܪܫܟ܀,ܪܫܟ܀ܟܒ܀
,,,ܘܥܢܐܘܐܡܪܚܣܠܟ,ܘܥܢܐܘܐܡܪܚܣܠܟ
,,,ܕܢܗܘܐ,ܕܢܗ̈ܘܝܢ
,,,ܡܢܟ,ܡܢܟ
,,,ܒܝܫ̈ܬܐ,ܒ̈ܝܫܬܐ
,,,ܐܠܐܐܢܛܒ̈ܬܐ܂ܘܐܝܟ,ܐܠܐܐܢܛܒ̈ܬܐ܂ܘܐܝܟ
,,,ܛܝܒܘ̈ܬܟ,ܛܝܒ̈ܘܬܟܥܒܕ
,,,ܥܡܝ܂ܘܫܒܘܩܠܝ,ܥܡܝ܂ܘܫܒܘܩܠܝ
,,,ܟܠܡܐ,ܟܠܡܐ
,,,ܕܩܕܡܬ,ܕܩܕܡܬ
,,,ܘܐ,ܘܐܡܪܬ܆
,,,ܡܛܠܕܠܐܠܗܐܐܪܓܙܬ,ܡܛܠܕܠܐܠܗܐܐܪܓܙܬ
,,,ܒܚܛܗ̈ܝ܂ܘܒܐܡܝܢܘܬܐ,ܒܚܛܗܝ̈܂ܘܒܐܡܝܢܘܕܝܢ
,,,ܡܩܒܠ,ܡܩܒܠ
,,,ܠܬܝ̈ܒܐܘܠܕܚ̈ܛܝܢ܂,ܠܬܝܒ̈ܐܘܠܕܚܛܝܢ܂
,,,ܐܢ̄ܬܕܝܢ,ܐܢ̄ܬܕܝܢ
,,,,ܩܒܠܝܢܝ
,,,ܕܐܗܘܐܡܫܡܫܪܟܫܟܘܐܪܥܐܠܚܙܝܪ̈ܝܟ܂,ܕܐܗܘܐܡܫܡܫܪܟܫܟܘܐܪܥܐܠܚܙܝܪ̈ܝܟ܂
,,,ܙܒܠܟ܂,ܘܐܚܘܡ܂
,,,ܘܐܢܐܡܢܐܬܩܪܐܓܒܪܐ,ܘܐܢܐܡܢܐܬܩܪܐܓܒܪܐ
,,,ܒܝܫܐ܂,ܒܝܫܐ܇
,,,ܘܐܢ̄ܬ,ܘܐܢ̄ܬ
,,,,ܕܝܢ
,,,ܓܒܪܐܛܒܐ܀,ܓܒܪܐܛܒܐ܀
,,,,ܟܓ܀
,,,ܬܘܒܐܡܪܠܗܐܚܝܩܪܒܪܝܢܕܢ܂ܥܠܝܡܘܬܢܫܪܐ,ܬܘܒܐܡܪܠܗܐܚܝܩܪܒܪܝܢܕܢ܂ܥܠܝܡܘܬܢܫܪܐ
,,,ܛܒܐܗ̄ܝܡ̣ܢܥܠܝܡܘܬܥܘܪܒܐ,ܛܒܝܡ̣ܢܥܠܝܡܘܬܥܘܪܒܐ
,,,ܣܪܝܐ܀,ܣܪܝܐ܀
,,,,ܟܕ܀
,,,ܒܪܝ,ܒܪܝ
,,,ܐܡ̣ܪܘ,ܐܡܪܘ
,,,ܠܕܐܒܐܐܬܪܚܩ,ܠܕܐܒܐܐܬܪܚܩ
,,,ܡ̣ܢܩܪܝܒܘܬܗ̇,ܡܢܩܕܝܒܘܬܗ
,,,ܕܥܢ̈ܐܕܠܐܬܐܬܐ,ܕܥܢ̈ܐܕܠܐܬܐܬܐ
,,,ܢܦܬܗ̇,ܢܦܬܗ
,,,ܥܠܝܟ܂ܐܡܪ,ܥܠܝܟ܂ܐܡܪ
,,,ܓܝܪ,
,,,ܕܐܒܐܠܐ,ܕܐܒܐܠܐ
,,,ܡܬܪܚܩ,ܪܚܩ
,,,ܐ̄ܢܐ܂,ܐ̄ܢܐ܂
,,,ܒܕܢܦܬܐܓܝܪܕܥ̈ܢܐ,ܒܕܢܦܬܗ̇ܕܥܢܐ
,,,ܣܡܐܗ̄ܝܠܥܝ̈ܢܐܕܝܠܝ܀,ܣܡܐܗ̄ܝܠܥܝ̈ܢܐܕܝܠܝ܀
,,,,ܟܓ܀
,,,ܒܪܝܐܥܠܘܗܝܠܕܐܒܐܠܘܬܣܦܪܐ,ܒܪܝܐܥܠܘܗܝܠܕܐܒܐܠܘܬܣܦܪܐ
,,,ܕܢܐܠܦ܂,ܐܝܟܢܐܕܢܐܠܦ܇
,,,ܐܡܪܠܗܣܦܪܐܡܠܦܢܐ܂ܐܡܪܐܠܦ,ܐܡܪܠܗܣܦܪܐܡܠܦܢܐ܂ܐܡܪܐܠܦ
,,,ܒܝܬ܂,ܒܝܬ܆
,,,ܥܢܐܕܐܒܐ,ܥܢܐܕܐܒܐ
,,,ܘܐܡܪ,ܘܐܡܪ܇
,,,ܐܡܪܐܘܓܕܝܐܒܟܪܣܝ܀,ܐܡܪܐܘܓܕܝܐܒܟܪܣܝ܀
,,,,ܟܘ܀
,,,ܒܪܝܡܢܙܒܢܐܕܐܠܦܬܟܐܡܪܬܠܟܕܐܠܗܐܫܠܝܛܐܗ̄ܘܟܐܢܐܘܕܝܢܐܬܪܝܨܐ܂ܕܥܒܕܝܢܛܒ̈ܬܐܦܪܥܠܗܘܢܛܒ̈ܬܐ܂ܘܕܥܒܕܝܢܒܝ̈ܫܬܐܦܪܥܠܗܘܢ,ܒܪܝܡܢܙܒܢܐܕܐܠܦܬܟܐܡܪܬܠܟܕܐܠܗܐܫܠܝܛܐܗ̄ܘܟܐܢܐܘܕܝܢܐܬܪܝܨܐ܂ܕܥܒܕܝܢܛܒ̈ܬܐܦܪܥܠܗܘܢܛܒ̈ܬܐ܂ܘܕܥܒܕܝܢܒܝ̈ܫܬܐܦܪܥܠܗܘܢ
,,,ܒܝ̈ܫܬܐ܂,ܒ̈ܝܫܬܐ܇
,,,ܘܣܐܡܒܪܫܗܘܢܫܘܢܩܐܕܒܓܗܢܐ܂ܒܕܠܝܬܓܝܪ,ܘܣܐܡܒܪܫܗܘܢܫܘܢܩܐܕܒܓܗܢܐ܂ܒܕܠܝܬܓܝܪ
,,,ܒܝܢ̈ܝܘܠܟܣܛܪܡ̣ܢܐܠܗܐ,ܒܝܢܝܘܠܟܣܛܪܡܢܐܠܗܐ
,,,ܫܠܝܛܐ܂,ܫܠܝܛܐ܂
,,,ܗܘ̣,ܗܘ
,,,ܕܝܢ,ܕܝܢ
,,,ܢܦܪ̱ܥܟ,ܢܦܪܥܟ
,,,ܐܝܟ,ܐܝܟ
,,,ܡܐ,ܐܟܡܐ
,,,ܕܫܘܐܐܢ̄ܬ܀,ܕܫܘܐܐܢ̄ܬ܀
,,,,ܟܙ܀
,,,ܒܪܝܐܫܬܪܪܬܒܟܡܠܬܐܗܝܕܐܡܝܪܐ܂,ܒܪܝܐܫܬܪܪܬܒܟܡܠܬܐܗܝܕܐܡܝܪܐ܂
,,,ܕܝܠܕܬܝܗܝ,ܕܝܠܕܬܟ
,,,ܩܪܝܘܗܝܒܪܟ܂ܘܗܘ,ܩܪܝܘܗܝܒܪܟ܂ܘܗܘ
,,,ܕܪܒܝܬܝܗܝ,ܕܪܒܝܬܗܝ
,,,ܩܪܝܘܗܝܥܒܕܟ܀,ܩܪܝܘܗܝܥܒܕܟ܀
,,,,ܟܙ܀
,,,ܒܪܝܘܕܫܪܝܪܐܗܕܐ,ܒܪܝܘܕܫܪܝܪܐܗܕܐ
,,,ܗ̄ܝ̣܂,ܗ̄ܝ̣܇
,,,ܐܢܕܝܢ,ܐܢܕܝܢ
,ܒܪܚܬܟ,,ܒܪܚܬܟ,ܒܪܚܬܟ
ܗ̄ܘ,ܗ̄ܘ,,ܗ̄ܘ,ܗ̄ܘ
ܠܚܡܟܠܟܦ̈ܢܐܠܐܢܩܒܠ,ܒܐܣܬܐ,,ܒܐܣܬܐ,ܒܐܣܬܐ
,ܫܩܦܝܗܝ܂,,ܫܩܦܝܗܝ,ܫܩܘܦܝܗܝ
,ܘܥܠܐܪܥܐ,,ܘܥܠܐܪܥܐ,ܘܥܠܐܪܥܐ
,ܫܕܝܘܗܝ,,ܫܕܝܘܗܝ܂,ܫܕܝܘܗܝ܆
,ܘܕܝܕܥ,,ܘܕܝܕܥ,ܘܕܝܕܥ
,ܓܝܪܟܣܝܬܐ,,ܟܣ̈ܝܬܐ,ܟܣ̈ܝܬܐ
ܐܠܗܐ,ܐܠܗܐ,,ܐܠܗܐ܂,ܐܠܗܐܗ̄ܘ܂
ܙܕܩܬܟ܂,ܗ̄ܘ̣܂,,ܗ̄ܘ̣܂,
,ܘܦܪܥ,,ܘܦܪܥ,ܘܦܪܥ
,ܠܟܠܢܫ,,ܠܟܠܢܫ,ܠܟܠܐ̄ܢܫ
,ܐܝܟ,,ܐܝܟ,ܐܝܟ
,ܦܘܠܚܢܗܐܢܛܒܬܐ,,ܥܒܕܘ̈ܗܝ܂ܐܢ,ܥܒܕܘܗ̈ܝ܂ܐܢ
,,,ܛܒ̈ܐ,ܛܒ̈ܐ
ܘܐܢ,ܘܐܢ,,ܘܐܢ,ܘܐܢ
ܬܘܒܗܢܐܗ̄ܘ̣ܨܘܡܟܘܨܠܘܬܟ܂ܠܐܢܫܡܥܐܠܗܐܨܠܘܬܟ܂ܘܠܐܢܫܠܡܥܡܟܒܛܒܬܐ܂ܐܘܒܪܝ,ܒܝܫܬܐ܂ܘܗܘ̤ܢܕܘܢܒܝܢܝܘܠܟ܂,,ܒܝܫ̈ܐ܂ܗܘܢܦܪܥܟܐܟܡܐ,ܒܝܫ̈ܐ܂ܗܘܢܦܪܥܟܐܟܡܐ
,,,ܕܫ̇ܘܐ,ܕܫܘܐ
,,,ܐܢ̄ܬ܂,ܐܢ̄ܬ܂
,ܐܢܐܗܟܝܠܡܟܝܠ,,ܐܢܐܗܟܝܠܡܟܝܠ,ܐܢܐܗܟܝܠܡܟܝܠ
,ܠܐܐܡ̇ܪ,,,
,ܐ̄ܢܐ,,,
,ܡܕܡ,,ܡܕܡ,ܡܕܡ
,ܒܪܡܡܪܝܐܦܪܥܐܟܡܐܕܫܘܐܐܢ̄ܬ݁܂,,ܠܐ,ܠܐ
,,,ܐܡܪ,ܐܡܪܢܐ
,,,ܐ̄ܢܐ,
,,,ܠܟ܀,ܠܟ܀
,,,,ܟܚ܀ܘܟܕܫܡܥܕܝܢܢܕܢܣܟܠܐ
